update_id,algo,sample_id,token_pos,sop,entropy,aop_l2,aop_kl,f_avg_mean,f_ratio_mean,f_avg_abstract_algebra,f_ratio_abstract_algebra,f_avg_college_mathematics,f_ratio_college_mathematics,f_avg_high_school_physics,f_ratio_high_school_physics,f_avg_computer_security,f_ratio_computer_security,f_avg_international_law,f_ratio_international_law,f_avg_moral_disputes,f_ratio_moral_disputes,f_avg_high_school_us_history,f_ratio_high_school_us_history,f_avg_clinical_knowledge,f_ratio_clinical_knowledge,loss,target_token_id
0_72,sft,0,72,0.54296875,0.28515625,0.0,0.043212890625,-0.0148828125,0.034999999999999996,0.0090625,0.06,0.00125,0.12,-0.0328125,0.0,-0.024921875,0.02,-0.01890625,0.0,-0.021484375,0.02,0.001953125,0.04,-0.033203125,0.02,0.04316559061408043,17
0_73,sft,0,73,0.29296875,0.02294921875,0.0,0.00225830078125,-0.002080078125,0.0575,0.014375,0.16,0.00234375,0.1,-0.005625,0.06,-0.007109375,0.02,-0.00859375,0.02,0.003203125,0.06,-0.0084375,0.04,-0.006796875,0.0,0.0022586092818528414,19
0_74,sft,0,74,0.1484375,1.03125,0.03515625,0.189453125,-0.108076171875,0.03,-0.12625,0.0,-0.109375,0.0,-0.1234375,0.0,-0.1196875,0.04,-0.1184375,0.0,-0.10140625,0.12,-0.03859375,0.08,-0.127421875,0.0,0.18978992104530334,2372
0_75,sft,0,75,0.1689453125,1.7578125,0.81640625,1.4140625,-0.7306787109374999,0.19999999999999998,-1.4559375,0.04,-1.0159375,0.08,-0.786171875,0.06,-0.9630859375,0.12,-0.855859375,0.1,-0.3344140625,0.3,0.171015625,0.66,-0.6050390625,0.24,1.417326807975769,17
0_76,sft,0,76,0.79296875,0.015625,0.0,0.001434326171875,-0.012177734375,0.0375,-0.00953125,0.04,-0.00828125,0.06,-0.0125,0.04,-0.021171875,0.02,-0.02015625,0.04,-0.00578125,0.02,0.0028125,0.08,-0.0228125,0.0,0.0014352031284943223,19
0_77,sft,0,77,0.396484375,0.55859375,0.0078125,0.0810546875,-0.019677734375,0.049999999999999996,-0.00265625,0.1,-0.0234375,0.02,-0.061875,0.0,0.0090625,0.12,-0.0084375,0.04,-0.023203125,0.04,0.00171875,0.06,-0.04859375,0.02,0.08101611584424973,25277
0_78,sft,0,78,0.23828125,0.609375,0.0078125,0.1025390625,-0.006474609375,0.08500000000000002,0.03203125,0.2,0.011875,0.16,0.01984375,0.18,-0.05734375,0.0,-0.03015625,0.0,-0.00921875,0.04,-0.010703125,0.04,-0.008125,0.06,0.10276252776384354,303
0_79,sft,0,79,0.1708984375,0.80859375,0.333984375,0.5390625,0.348212890625,0.8325,0.4459375,0.92,0.521875,0.94,0.54046875,0.98,0.179140625,0.68,0.33390625,0.92,0.211875,0.74,0.171484375,0.6,0.381015625,0.88,0.5396288633346558,3114
0_80,sft,0,80,0.35546875,1.234375,0.150390625,0.40625,0.07824218749999999,0.37,0.1153125,0.54,0.094375,0.4,0.1134375,0.56,0.036875,0.18,0.068125,0.4,0.073046875,0.32,0.043203125,0.2,0.0815625,0.36,0.40593594312667847,13
0_81,sft,0,81,0.380859375,2.453125,0.30078125,0.734375,0.392802734375,0.8475,0.669375,1.0,0.6021875,1.0,0.5628125,0.98,0.215703125,0.62,0.2371875,0.82,0.2915625,0.86,0.137734375,0.58,0.425859375,0.92,0.7333097457885742,198
0_82,sft,0,82,0.55859375,2.875,0.5390625,1.1953125,-0.12312499999999998,0.1775,-0.35359375,0.02,-0.2046875,0.12,-0.024921875,0.2,-0.157265625,0.14,-0.1865625,0.1,-0.00734375,0.4,-0.020625,0.18,-0.03,0.26,1.192605972290039,45
0_83,sft,0,83,0.875,0.006927490234375,0.0,0.00058746337890625,-0.00986328125,0.0325,-0.0,0.08,-0.01984375,0.0,-0.0059375,0.06,-0.006796875,0.02,-0.02203125,0.04,-0.010234375,0.04,0.001171875,0.02,-0.015234375,0.0,0.0005887205479666591,4073
0_84,sft,0,84,0.439453125,0.000400543212890625,0.0,2.944469451904297e-05,-0.0013867187499999997,0.0175,-0.0028125,0.0,0.0015625,0.04,-0.005625,0.0,-0.0028125,0.0,0.00140625,0.02,-0.00484375,0.0,0.00453125,0.08,-0.0025,0.0,2.9444261599564925e-05,667
0_85,sft,0,85,0.2197265625,0.23046875,0.0,0.031982421875,0.0029589843750000007,0.057499999999999996,0.01703125,0.1,0.00984375,0.12,-0.014609375,0.04,0.015546875,0.06,-0.00828125,0.04,0.003671875,0.04,0.000859375,0.06,-0.000390625,0.0,0.03208236023783684,5898
0_86,sft,0,86,0.1259765625,0.498046875,0.00390625,0.07421875,-0.005986328124999999,0.0475,0.01734375,0.14,0.01296875,0.06,-0.00203125,0.06,-0.01953125,0.06,-0.021875,0.0,-0.0146875,0.0,-0.007578125,0.04,-0.0125,0.02,0.07441360503435135,220
0_87,sft,0,87,0.10009765625,0.7265625,0.5,0.69921875,0.12896484375,0.56,0.11359375,0.54,0.15359375,0.68,0.15,0.64,0.091328125,0.38,0.24640625,0.92,0.10640625,0.42,0.0765625,0.44,0.093828125,0.46,0.6979529857635498,19
0_88,sft,0,88,0.400390625,0.004791259765625,0.0,0.0004367828369140625,-0.0033398437499999995,0.037500000000000006,-0.0003125,0.08,0.00234375,0.08,-0.006875,0.04,-0.00171875,0.02,-0.01140625,0.02,0.00171875,0.02,-0.001171875,0.02,-0.009296875,0.02,0.0004357342259027064,23
0_89,sft,0,89,0.2001953125,1.453125,0.76171875,1.2578125,0.039765625,0.38,0.2315625,0.7,0.0928125,0.54,-0.05375,0.14,-0.04765625,0.34,0.01078125,0.38,0.0503125,0.44,0.0115625,0.14,0.0225,0.36,1.257816195487976,10
0_90,sft,0,90,0.73046875,0.08642578125,0.0,0.01043701171875,-0.00533203125,0.06,0.02,0.14,0.0009375,0.1,-0.0203125,0.02,-0.00953125,0.04,-0.01234375,0.1,0.006953125,0.04,-0.014453125,0.04,-0.01390625,0.0,0.010459722951054573,17
0_91,sft,0,91,0.369140625,0.007080078125,0.0,0.000652313232421875,-0.007900390625,0.0475,0.01359375,0.1,-0.00890625,0.04,-0.02765625,0.04,-0.007734375,0.04,-0.01265625,0.06,0.000234375,0.06,-0.005390625,0.04,-0.0146875,0.0,0.0006515049026347697,19
0_92,sft,0,92,0.185546875,0.361328125,0.0078125,0.0712890625,-0.0048632812499999995,0.04,0.0125,0.14,-0.00703125,0.0,-0.01234375,0.02,0.01609375,0.08,-0.01046875,0.04,-0.015078125,0.02,-0.008203125,0.02,-0.014375,0.0,0.0712839886546135,283
0_93,sft,0,93,0.1279296875,0.71484375,0.125,0.298828125,0.16776367187500002,0.6200000000000001,0.36078125,0.86,0.2059375,0.76,0.13171875,0.52,0.1275,0.54,0.13890625,0.62,0.1325,0.66,0.0725,0.34,0.172265625,0.66,0.2995995581150055,1079
0_94,sft,0,94,0.2138671875,0.279296875,0.0078125,0.0673828125,-0.0469921875,0.045,-0.05734375,0.02,-0.08171875,0.04,-0.025859375,0.12,-0.071640625,0.02,-0.05578125,0.06,-0.03046875,0.06,-0.02625,0.0,-0.026875,0.04,0.0675974190235138,19
0_95,sft,0,95,0.140625,0.0033721923828125,0.0,0.0003032684326171875,-0.003896484375,0.042499999999999996,0.01140625,0.14,-0.00296875,0.02,-0.01015625,0.02,-0.0090625,0.06,-0.01734375,0.02,0.001328125,0.04,0.00625,0.04,-0.010625,0.0,0.00030357998912222683,23
0_96,sft,0,96,0.0703125,0.3203125,0.015625,0.09228515625,-0.060751953125,0.02,-0.05109375,0.02,-0.04234375,0.06,-0.05765625,0.04,-0.092109375,0.0,-0.0846875,0.0,-0.070078125,0.0,-0.01921875,0.04,-0.068828125,0.0,0.09218887984752655,10
0_97,sft,0,97,0.08154296875,0.0081787109375,0.0,0.000743865966796875,-0.0065234375,0.05,0.01203125,0.12,0.00125,0.08,-0.01359375,0.04,-0.001953125,0.04,-0.02015625,0.02,0.00109375,0.06,-0.005703125,0.04,-0.02515625,0.0,0.0007456144667230546,17
0_98,sft,0,98,0.041015625,0.00171661376953125,0.0,0.0001430511474609375,-0.00791015625,0.025,0.01046875,0.04,0.00375,0.06,-0.0128125,0.02,-0.011875,0.02,-0.01609375,0.04,-0.0021875,0.02,-0.016953125,0.0,-0.017578125,0.0,0.00014280252798926085,19
0_99,sft,0,99,0.0206298828125,0.033935546875,0.0,0.0032958984375,-0.0069921875,0.029999999999999995,0.01109375,0.08,-0.001875,0.04,-0.0065625,0.04,-0.016640625,0.02,-0.02015625,0.02,-0.00359375,0.0,-0.005546875,0.02,-0.01265625,0.02,0.003289884887635708,28
0_100,sft,0,100,0.011962890625,0.03466796875,0.0,0.0037384033203125,-0.012705078125,0.027500000000000004,-0.01078125,0.02,-0.0075,0.04,-0.014375,0.04,-0.0328125,0.04,-0.0115625,0.0,-0.0046875,0.04,-0.001015625,0.04,-0.01890625,0.0,0.003733451943844557,22
0_101,sft,0,101,0.0078125,0.00131988525390625,0.0,9.822845458984375e-05,-0.0016015624999999997,0.045,0.016875,0.08,0.0046875,0.06,-0.011875,0.04,-0.001484375,0.04,-0.0078125,0.04,-0.001484375,0.04,-0.0034375,0.04,-0.00828125,0.02,9.810443589231e-05,17
0_102,sft,0,102,0.00396728515625,0.140625,0.0,0.0172119140625,0.006435546875000001,0.09250000000000003,0.03546875,0.22,0.0175,0.14,-0.00375,0.06,-0.007421875,0.02,0.00609375,0.14,0.009375,0.06,-0.001796875,0.06,-0.003984375,0.04,0.01723245158791542,2372
0_103,sft,0,103,0.0106201171875,0.06591796875,0.0,0.0081787109375,-0.012148437500000001,0.034999999999999996,-0.005625,0.08,-0.00421875,0.08,-0.0171875,0.04,-0.0225,0.0,-0.0221875,0.02,-0.005546875,0.02,0.00203125,0.04,-0.021953125,0.0,0.008208585903048515,22
0_104,sft,0,104,0.0093994140625,0.0006866455078125,0.0,5.125999450683594e-05,-0.001201171875,0.015000000000000001,-0.00484375,0.0,0.00546875,0.02,-0.00140625,0.04,-7.8125e-05,0.0,-0.00375,0.02,-0.002109375,0.02,-7.8125e-05,0.02,-0.0028125,0.0,5.125868119648658e-05,17
0_105,sft,0,105,0.004730224609375,0.031982421875,0.0,0.00341796875,0.0058203125,0.08250000000000002,0.0225,0.16,0.00984375,0.12,0.001875,0.12,0.003671875,0.04,0.0015625,0.08,0.0078125,0.04,0.003125,0.04,-0.003828125,0.06,0.003418674925342202,25277
0_106,sft,0,106,0.004058837890625,0.9375,0.89453125,1.1953125,-0.5194580078125,0.1825,-0.70890625,0.12,-0.39765625,0.26,-0.432890625,0.16,-0.818125,0.12,-0.811875,0.1,-0.287578125,0.34,-0.1230859375,0.24,-0.575546875,0.12,1.1982431411743164,29071
0_107,sft,0,107,0.6015625,0.7265625,0.08984375,0.2578125,0.086572265625,0.42750000000000005,0.1321875,0.62,0.09578125,0.44,0.07296875,0.34,0.142265625,0.56,0.09890625,0.48,0.05515625,0.36,0.043984375,0.26,0.051328125,0.36,0.25778281688690186,303
0_108,sft,0,108,0.4296875,0.048583984375,0.0,0.00543212890625,0.0011621093750000002,0.05,0.03296875,0.14,0.0025,0.04,-0.0075,0.02,-0.006171875,0.02,-0.00328125,0.1,-0.003203125,0.02,-0.00859375,0.04,0.002578125,0.02,0.005420273635536432,5632
0_109,sft,0,109,0.216796875,0.0223388671875,0.0,0.002288818359375,-0.0068164062499999995,0.0525,0.0003125,0.04,0.00421875,0.08,-0.0059375,0.06,-0.019609375,0.02,-0.023125,0.04,0.00296875,0.1,0.0021875,0.06,-0.015546875,0.02,0.002283705398440361,321
0_110,sft,0,110,0.10986328125,0.01116943359375,0.0,0.0010223388671875,-0.004423828125,0.0675,0.005,0.12,0.00046875,0.1,-0.0103125,0.06,-0.000859375,0.04,-0.0065625,0.08,-0.00296875,0.08,-0.005,0.06,-0.01515625,0.0,0.0010247938334941864,3114
0_111,sft,0,111,0.055419921875,0.83203125,0.11328125,0.298828125,-0.16383789062499998,0.025,-0.2771875,0.0,-0.16578125,0.02,-0.12265625,0.0,-0.24171875,0.04,-0.16171875,0.0,-0.13953125,0.06,-0.056875,0.08,-0.145234375,0.0,0.2979559004306793,13
0_112,sft,0,112,0.1767578125,0.765625,0.11328125,0.291015625,0.0143359375,0.2075,0.0546875,0.34,0.0515625,0.34,0.0740625,0.38,-0.029375,0.08,-0.0703125,0.06,-0.001875,0.16,0.00234375,0.12,0.03359375,0.18,0.290127694606781,198
0_113,sft,0,113,0.234375,1.2734375,0.1171875,0.3359375,0.08359375000000001,0.37250000000000005,0.34640625,0.78,0.19359375,0.64,0.02625,0.3,0.1471875,0.48,-0.03125,0.16,-0.04421875,0.14,-0.00234375,0.16,0.033125,0.32,0.3354627788066864,794
0_114,sft,0,114,0.28515625,1.8359375,1.2890625,3.375,7.364287109375,1.0,6.8125,1.0,7.16484375,1.0,8.39890625,1.0,6.708515625,1.0,7.4775,1.0,6.7759375,1.0,8.547734375,1.0,7.028359375,1.0,3.3717310428619385,220
0_115,sft,0,115,1.828125,1.1328125,0.2109375,0.466796875,-0.024287109374999998,0.44249999999999995,0.206875,0.64,0.281875,0.7,-0.02234375,0.44,-0.230390625,0.26,-0.20703125,0.36,-0.0384375,0.42,-0.068125,0.36,-0.11671875,0.36,0.4676278829574585,22
0_116,sft,0,116,1.1484375,0.0264892578125,0.0,0.002777099609375,-0.0026171875,0.035,0.00140625,0.06,0.00578125,0.04,-0.0115625,0.06,0.004296875,0.04,-0.0128125,0.04,0.00359375,0.04,-0.0046875,0.0,-0.006953125,0.0,0.002776816952973604,17
1_51,sft,1,51,0.0,0.6640625,1.8359375,7.21875,0.360830078125,0.6224999999999999,0.560625,0.72,0.724375,0.8,0.5709375,0.74,-0.129140625,0.4,-0.09359375,0.32,0.38828125,0.62,0.492734375,0.74,0.372421875,0.64,7.21636438369751,54
1_52,sft,1,52,7.21875,1.046875,0.02734375,0.171875,-0.2777734375,0.0,-0.4465625,0.0,-0.3234375,0.0,-0.218984375,0.0,-0.374453125,0.0,-0.35890625,0.0,-0.16578125,0.0,-0.0990625,0.0,-0.235,0.0,0.17230089008808136,800
1_53,sft,1,53,2.515625,0.96875,0.33984375,0.5625,0.45059570312499997,0.73,0.6784375,0.8,0.51203125,0.8,0.493203125,0.8,0.4296875,0.66,0.33515625,0.72,0.39109375,0.68,0.270625,0.6,0.49453125,0.78,0.5606462955474854,61607
1_54,sft,1,54,1.3984375,0.703125,1.75,3.984375,0.796494140625,0.8550000000000001,0.9925,0.92,1.00890625,0.88,1.0228125,0.9,0.439140625,0.74,0.2659375,0.56,0.74796875,0.98,1.168828125,1.0,0.725859375,0.86,3.9905409812927246,220
1_55,sft,1,55,2.78125,1.9296875,0.365234375,0.828125,0.12234375,0.5199999999999999,0.30015625,0.66,0.22234375,0.68,0.2634375,0.64,-0.036796875,0.3,0.00359375,0.4,0.0625,0.46,0.03671875,0.42,0.126796875,0.6,0.8292810916900635,16
1_56,sft,1,56,1.7734375,1.0625,0.05859375,0.2451171875,0.018720703124999998,0.23750000000000004,0.10640625,0.44,0.08453125,0.38,0.083515625,0.4,-0.0809375,0.1,-0.0309375,0.2,0.0125,0.16,-0.031015625,0.1,0.005703125,0.12,0.24469584226608276,17
1_57,sft,1,57,0.99609375,3.0,1.09375,4.4375,-0.11801757812499998,0.3675,-0.5659375,0.1,-0.31140625,0.22,-0.08671875,0.38,-0.242890625,0.32,0.0278125,0.4,-0.0603125,0.28,0.255234375,0.7,0.040078125,0.54,4.451230525970459,14
1_58,sft,1,58,2.71875,2.046875,0.4140625,0.8984375,-0.6667724609375,0.065,-0.79453125,0.06,-0.51703125,0.08,-0.50515625,0.08,-1.0426953125,0.02,-1.01046875,0.02,-0.542265625,0.1,-0.26765625,0.14,-0.654375,0.02,0.8973796367645264,21
1_59,sft,1,59,1.8125,0.1572265625,0.0,0.018310546875,-0.034785156250000004,0.0225,-0.00640625,0.06,-0.0265625,0.04,-0.04515625,0.04,-0.052578125,0.0,-0.045,0.02,-0.030078125,0.02,-0.031328125,0.0,-0.041171875,0.0,0.018285512924194336,15
1_60,sft,1,60,0.91015625,3.015625,0.6171875,1.390625,-0.34749023437500004,0.0075,-0.53671875,0.02,-0.3278125,0.0,-0.224296875,0.04,-0.51453125,0.0,-0.48609375,0.0,-0.2759375,0.0,-0.128125,0.0,-0.28640625,0.0,1.3908376693725586,283
1_61,sft,1,61,1.1484375,1.171875,0.8203125,1.1328125,-0.43503417968749997,0.20500000000000002,-0.4521875,0.18,-0.286328125,0.3,-0.388984375,0.24,-0.74875,0.16,-0.720703125,0.08,-0.3094921875,0.26,-0.037734375,0.3,-0.53609375,0.12,1.131063461303711,393
1_62,sft,1,62,1.140625,1.34375,1.3515625,10.0,3.1205371093750003,1.0,3.28375,1.0,3.31421875,1.0,3.33078125,1.0,2.907265625,1.0,2.644375,1.0,2.9353125,1.0,3.188984375,1.0,3.359609375,1.0,10.018205642700195,2362
1_63,sft,1,63,5.5625,1.390625,0.212890625,0.478515625,-0.250390625,0.0425,-0.42125,0.0,-0.2490625,0.02,-0.19828125,0.1,-0.391796875,0.0,-0.3228125,0.0,-0.2440625,0.0,-0.0403125,0.14,-0.135546875,0.08,0.47933363914489746,16
1_64,sft,1,64,3.03125,0.4296875,0.01171875,0.09228515625,-0.20919921875,0.0075,-0.29484375,0.0,-0.2253125,0.0,-0.169765625,0.0,-0.32109375,0.0,-0.25078125,0.0,-0.175546875,0.02,-0.06140625,0.04,-0.17484375,0.0,0.09246572852134705,17
1_65,sft,1,65,1.5546875,0.59375,0.0078125,0.09619140625,-0.026982421875000002,0.0675,-0.0971875,0.02,-0.041875,0.0,-0.02421875,0.06,-0.0203125,0.1,0.00421875,0.14,-0.036171875,0.02,0.011171875,0.1,-0.011484375,0.1,0.0961383655667305,14
1_66,sft,1,66,0.828125,0.07421875,0.0,0.01116943359375,-0.010781250000000001,0.0375,0.00140625,0.08,-0.00359375,0.06,-0.02734375,0.02,-0.014375,0.0,-0.0090625,0.06,-0.008515625,0.02,-0.00796875,0.02,-0.016796875,0.04,0.01114535890519619,21
1_67,sft,1,67,0.419921875,0.002899169921875,0.0,0.0002269744873046875,-0.007421875,0.04,0.00203125,0.06,0.00078125,0.04,-0.01140625,0.04,-0.011328125,0.06,-0.00921875,0.04,-0.007890625,0.02,-0.008046875,0.04,-0.014296875,0.02,0.00022682955022901297,15
1_68,sft,1,68,0.2099609375,1.0,0.0703125,0.263671875,-0.02759765624999999,0.3925,-0.21125,0.18,-0.18734375,0.2,-0.1940625,0.24,-0.0565625,0.38,0.14890625,0.56,0.12265625,0.52,0.203984375,0.66,-0.047109375,0.4,0.2627371847629547,28
1_69,sft,1,69,0.236328125,0.6953125,0.04296875,0.197265625,0.10295898437499999,0.5075000000000001,0.1153125,0.58,0.1121875,0.52,0.05375,0.34,0.1515625,0.68,0.16421875,0.68,0.05703125,0.34,0.08484375,0.42,0.084765625,0.5,0.1970476359128952,15
1_70,sft,1,70,0.216796875,0.06201171875,0.0,0.00592041015625,-0.010771484375000001,0.0475,-0.00453125,0.08,-0.00546875,0.08,-0.0134375,0.04,-0.025703125,0.08,-0.01125,0.06,-0.01046875,0.04,0.002578125,0.0,-0.017890625,0.0,0.005925588309764862,13
1_71,sft,1,71,0.111328125,0.048095703125,0.0,0.00592041015625,0.0034374999999999996,0.07250000000000001,0.02140625,0.14,0.02078125,0.14,0.00015625,0.06,-0.001171875,0.02,0.00265625,0.06,0.0003125,0.08,0.000234375,0.06,-0.016875,0.02,0.0059076938778162,17
1_72,sft,1,72,0.05859375,2.421875,0.470703125,0.98046875,-0.8085498046875,0.02,-1.2571875,0.0,-0.9065625,0.0,-0.746328125,0.02,-1.076875,0.04,-1.021875,0.0,-0.509140625,0.06,-0.222890625,0.04,-0.7275390625,0.0,0.9790816307067871,2372
1_73,sft,1,73,0.51953125,1.6796875,0.484375,0.890625,-0.2580957031250001,0.32,-0.604375,0.1,-0.38609375,0.22,-0.2971875,0.28,-0.6765625,0.1,-0.544375,0.14,0.137890625,0.56,0.361953125,0.74,-0.056015625,0.42,0.8888435363769531,15
1_74,sft,1,74,0.70703125,0.014404296875,0.0,0.001312255859375,-0.012978515625000001,0.0275,0.00296875,0.04,-0.01125,0.04,-0.01953125,0.02,-0.018203125,0.04,-0.02609375,0.0,-0.015390625,0.02,0.001953125,0.04,-0.01828125,0.02,0.0013100859941914678,13
1_75,sft,1,75,0.353515625,0.0118408203125,0.0,0.00115203857421875,0.004853515625,0.07750000000000001,0.031875,0.18,0.0090625,0.12,0.00875,0.1,-0.00578125,0.04,0.005,0.1,0.004921875,0.06,-0.006875,0.02,-0.008125,0.0,0.0011491130571812391,17
1_76,sft,1,76,0.1767578125,3.359375,1.0078125,3.109375,-0.26103027343749996,0.28500000000000003,-0.1209375,0.34,0.328125,0.64,0.15875,0.48,-0.8425390625,0.08,-1.037890625,0.0,-0.34609375,0.12,-0.033046875,0.38,-0.194609375,0.24,3.1067962646484375,791
1_77,sft,1,77,1.640625,1.125,0.7578125,1.046875,0.06529296875,0.44999999999999996,0.143125,0.64,0.148125,0.56,0.168125,0.6,-0.06546875,0.24,-0.0446875,0.3,0.107890625,0.54,-0.00921875,0.26,0.074453125,0.46,1.0482978820800781,9104
1_78,sft,1,78,1.34375,1.6875,0.134765625,0.421875,-0.10724609375,0.0175,-0.143125,0.0,-0.1053125,0.02,-0.0465625,0.06,-0.192421875,0.0,-0.1390625,0.0,-0.085078125,0.02,-0.04921875,0.02,-0.0971875,0.02,0.4221973121166229,13
1_79,sft,1,79,0.8828125,2.625,0.515625,1.125,0.804990234375,0.99,1.090625,1.0,1.01984375,1.0,0.93546875,1.0,0.713984375,1.0,0.67390625,1.0,0.66609375,1.0,0.408359375,0.92,0.931640625,1.0,1.1239080429077148,198
1_80,sft,1,80,1.0078125,2.390625,1.25,11.125,-0.37927734375,0.1825,-0.6128125,0.06,-0.36609375,0.24,-0.23421875,0.22,-0.6778125,0.12,-0.6278125,0.02,-0.306328125,0.22,0.066796875,0.46,-0.2759375,0.12,11.15593433380127,32853
1_81,sft,1,81,6.0625,3.375,0.69140625,1.640625,-0.43833984375,0.1875,-0.5634375,0.32,-0.19015625,0.36,-0.3503125,0.18,-0.809140625,0.06,-0.922734375,0.04,-0.19671875,0.28,-0.137109375,0.16,-0.337109375,0.1,1.6382516622543335,220
1_82,sft,1,82,3.859375,0.640625,0.0234375,0.150390625,-0.034658203125,0.0975,0.00625,0.26,0.0140625,0.22,-0.00984375,0.16,-0.0834375,0.02,-0.07390625,0.06,-0.05453125,0.0,-0.03375,0.04,-0.042109375,0.02,0.15024539828300476,20
